section,item,value
dataset_shape,rows,163949
dataset_shape,columns,10
schema,source_file,str
schema,row_id,int64
schema,sender,str
schema,receiver,str
schema,date,str
schema,subject,str
schema,body,str
schema,urls,float64
schema,text_combined,str
schema,label,int64
missing_values,source_file,0
missing_values,row_id,0
missing_values,sender,114665
missing_values,receiver,116405
missing_values,date,114814
missing_values,subject,82404
missing_values,body,82059
missing_values,urls,114336
missing_values,text_combined,0
missing_values,label,0
class_distribution,0,78481
class_distribution,1,85468
text_statistics,text_length_min,2.0
text_statistics,text_length_mean,1520.654
text_statistics,text_length_median,646.0
text_statistics,text_length_max,4561735.0
text_statistics,word_count_min,1.0
text_statistics,word_count_mean,220.391
text_statistics,word_count_median,102.0
text_statistics,word_count_max,127128.0
